,created_on,property_type,place_name,place_with_parent_names,lat,lon,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,rooms,properati_url,barrio,PH,apartment,house,price_m2
10510,2018-01-31,apartment,Caballito,|Argentina|Capital Federal|Caballito|,-34.624669299999994,-58.4367123,280000.0,102.0,87.0,4.0,https://www.properati.com.ar/1keky_venta_departamento_caballito_balcon_baulera_lavadero_patio_toilette_dependencias_garage_placard_aire-acondicionado_subte-linea-a_subte-linea-e_rapisarda-propiedades,CABALLITO,0.0,1.0,0.0,2745.098039215686
10511,2018-01-31,apartment,Caballito,|Argentina|Capital Federal|Caballito|,-34.615009,-58.436524,260000.0,100.0,82.0,4.0,https://www.properati.com.ar/1kexy_venta_departamento_caballito_lavadero_patio_toilette_dependencias_garage_subte-linea-a_saad-centurion-propiedades_di6,CABALLITO,0.0,1.0,0.0,2600.0
10512,2018-01-31,apartment,Caballito,|Argentina|Capital Federal|Caballito|,-34.6071517,-58.4495854,75000.0,39.0,36.0,3.0,https://www.properati.com.ar/1kfc5_venta_departamento_caballito_balcon_yamamoto-negocios-inmobiliarios,CABALLITO,0.0,1.0,0.0,1923.076923076923
10513,2018-01-31,apartment,Caballito,|Argentina|Capital Federal|Caballito|,-34.615131,-58.43189449999999,250000.0,117.0,114.0,4.0,https://www.properati.com.ar/1kfeb_venta_departamento_caballito_lavadero_luminoso_subte-linea-a_apto-credito-hipotecario_grupo-zeta-inmobiliaria_e4p,CABALLITO,0.0,1.0,0.0,2136.7521367521367
10514,2018-02-01,apartment,Caballito,|Argentina|Capital Federal|Caballito|,-34.618736299999995,-58.4406455,95000.0,38.0,30.0,3.0,https://www.properati.com.ar/1kgoo_venta_departamento_caballito_balcon_luminoso_garage_subte-linea-a_florencia-fernandez-propiedades,CABALLITO,0.0,1.0,0.0,2500.0
10515,2018-02-01,apartment,Caballito,|Argentina|Capital Federal|Caballito|,-34.6086136,-58.4417142,230000.0,70.0,70.0,3.0,https://www.properati.com.ar/1kgpd_venta_departamento_caballito_jardin_patio_piscina_garage_inmobiliaria-iglesias,CABALLITO,0.0,1.0,0.0,3285.714285714286
10516,2018-02-01,apartment,Caballito,|Argentina|Capital Federal|Caballito|,-34.6086048208,-58.441720605,230000.0,70.0,70.0,3.0,https://www.properati.com.ar/1kgud_venta_departamento_caballito_jardin_patio_piscina_garage_inmobiliaria-iglesias,CABALLITO,0.0,1.0,0.0,3285.714285714286
10518,2018-02-01,apartment,Caballito,|Argentina|Capital Federal|Caballito|,-34.6175261,-58.443433,124000.0,67.0,45.0,1.0,https://www.properati.com.ar/1kh50_venta_departamento_caballito_patio_vestidor_luminoso_impecable_subte-linea-a_apto-credito-hipotecario_massana-propiedades_h6q,CABALLITO,0.0,1.0,0.0,1850.7462686567164
10519,2018-02-01,apartment,Caballito,|Argentina|Capital Federal|Caballito|,-34.619475,-58.4312662,107000.0,45.0,93.82046724225495,3.0,https://www.properati.com.ar/1kh65_venta_departamento_caballito_vestidor_garage_aire-acondicionado_subte-linea-a_caian-negocis-inmobiliarios,CABALLITO,0.0,1.0,0.0,2377.777777777778
10520,2018-02-01,apartment,Caballito,|Argentina|Capital Federal|Caballito|,-34.6207523,-58.4405037,125000.0,84.0,65.0,3.0,https://www.properati.com.ar/1kh78_venta_departamento_caballito_lavadero_patio_subte-linea-a_urbano-propiedades_ccu,CABALLITO,0.0,1.0,0.0,1488.095238095238
10521,2017-08-30,PH,Barracas,|Argentina|Capital Federal|Barracas|,-34.6555887,-58.38865989999999,148000.0,85.0,85.0,4.0,https://www.properati.com.ar/1e2jo_venta_ph_barracas_patio_terraza_abp-consultora-inmobiliaria,BARRACAS,1.0,0.0,0.0,1741.1764705882354
10522,2017-08-31,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.639297,-58.375191,250000.0,85.0,65.0,3.0,https://www.properati.com.ar/1e4uw_venta_departamento_barracas_balcon_baulera_lavadero_terraza_toilette_luminoso_garage_aire-acondicionado_re-max-uno,BARRACAS,0.0,1.0,0.0,2941.176470588235
10523,2017-09-01,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.6449239,-58.3719186,140000.0,125.0,85.0,3.0,https://www.properati.com.ar/1e59i_venta_departamento_barracas_isabel-la-catolica-1376_lavadero_parrilla_terraza_mks-propiedades_6m3,BARRACAS,0.0,1.0,0.0,1120.0
10524,2017-09-01,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.63905689999999,-58.3751937,110000.0,63.0,48.0,2.0,https://www.properati.com.ar/1e5fa_venta_departamento_barracas_suarez_1700_parrilla_newland,BARRACAS,0.0,1.0,0.0,1746.031746031746
10525,2017-09-03,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.629818,-58.370766,137999.0,67.0,65.0,3.0,https://www.properati.com.ar/1ea71_venta_departamento_barracas_lavadero_mcm-bienes-raices,BARRACAS,0.0,1.0,0.0,2059.686567164179
10526,2017-09-05,apartment,Capital Federal,|Argentina|Capital Federal|,-34.62962879999999,-58.3750373,105365.75,55.0,55.0,5.0,https://www.properati.com.ar/1eb76_venta_departamento_capital-federal_tacuari_1844_luminoso_subte-linea-c_lucas1882agea,BARRACAS,0.0,1.0,0.0,1915.740909090909
10527,2017-09-06,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.635324600000004,-58.375324600000006,480000.0,118.0,118.0,4.0,https://www.properati.com.ar/1ec74_venta_departamento_barracas_balcon_suite_lavadero_vestidor_vista_lujoso_garage_arkis-inmobiliaria_eoh,BARRACAS,0.0,1.0,0.0,4067.7966101694915
10528,2017-09-06,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.6396767,-58.369328,732275.0,292.0,268.0,5.0,https://www.properati.com.ar/1ecd4_venta_departamento_barracas_balcon_patio_vista_achaval-cornejo_e1u,BARRACAS,0.0,1.0,0.0,2507.791095890411
10529,2017-09-06,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.6396767,-58.369328,209309.0,97.0,88.0,1.0,https://www.properati.com.ar/1ecei_venta_departamento_barracas_balcon_piscina_terraza_garage_amenities_achaval-cornejo_e1u,BARRACAS,0.0,1.0,0.0,2157.824742268041
10530,2017-09-06,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.6396767,-58.369328,175500.0,75.0,65.0,1.0,https://www.properati.com.ar/1ecem_venta_departamento_barracas_balcon_piscina_terraza_garage_amenities_achaval-cornejo_e1u,BARRACAS,0.0,1.0,0.0,2340.0
10531,2017-09-06,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.6396767,-58.369328,195000.0,90.0,83.0,1.0,https://www.properati.com.ar/1eceu_venta_departamento_barracas_balcon_piscina_terraza_garage_amenities_achaval-cornejo_e1u,BARRACAS,0.0,1.0,0.0,2166.6666666666665
10532,2017-09-06,PH,Barracas,|Argentina|Capital Federal|Barracas|,-34.6541211447,-58.3741181933,75000.0,35.0,35.0,2.0,https://www.properati.com.ar/1efeg_venta_ph_barracas_gimnasio_terraza_placard_di-mitrio-inmobiliaria_d2r,BARRACAS,1.0,0.0,0.0,2142.8571428571427
